Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
19955,3/17/2021,Automatic Funds Transfer Services Inc,Electronic,Yes,14,,Yes,,,,,
20006,3/17/2021,Business Bank of Texas NA,Electronic,Yes,1,Yes,,,,Yes,,
20007,3/17/2021,"Western Union Financial Services, Inc",Electronic,,25,Yes,,Yes,,Yes,,
19912,3/17/2021,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
19998,3/18/2021,The Travelers Indemnity Company,Electronic,,37,Yes,Yes,Yes,,Yes,,
19999,3/18/2021,PCS Revenue Control Systems,Electronic,Yes,256,Yes,,,,Yes,,
20000,3/18/2021,CalAmp Corp,Electronic,Yes,14,,Yes,,Yes,,,
20001,3/18/2021,savers bank,Electronic,,1,,,,Yes,,,
20002,3/18/2021,Old Edwards Hospitality Group,Electronic,Yes,2,Yes,,,,Yes,,
20003,3/18/2021,The Baltimore Museum of Art,Electronic,Yes,26,Yes,Yes,,,Yes,,
20004,3/18/2021,Hartford Life and Accident Insurance Company,Paper,,12,Yes,,,,Yes,,
20005,3/18/2021,Meemic Insurance Company,Electronic,Yes,1,Yes,,Yes,,Yes,,
19987,3/19/2021,Victor Community Support Services,Electronic,Yes,1,Yes,,,,Yes,,
19988,3/19/2021,"LI-COR, Inc.",Electronic,Yes,9,Yes,Yes,,,Yes,,
19989,3/19/2021,Nationstar Mortgage LLC d/b/a Champion Mortgage Company d/b/a Mr. Cooper,Paper,Yes,20,Yes,,,,Yes,,
19990,3/19/2021,"DeCotiis, FitzPatrick, Cole & Giblin, LLP",Electronic,Yes,3,Yes,,Yes,,Yes,,
19991,3/19/2021,"SunMed Group Holdings, LLC",Electronic,Yes,7,Yes,Yes,Yes,,Yes,,
19992,3/19/2021,"Stavros Center for Independent Living, Inc.",Electronic,Yes,,Yes,Yes,Yes,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
19993,3/19/2021,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,
19994,3/19/2021,Kentucky Wesleyan College,Electronic,Yes,39,Yes,,Yes,,Yes,,
19995,3/19/2021,"JPMorgan Chase Bank, N.A.",Paper,Yes,12,,Yes,,,Yes,,
19996,3/19/2021,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,Yes,,,,Yes,,
19997,3/19/2021,"JPMorgan Chase Bank, N.A.",Paper,Yes,1,,Yes,,,,,
19985,3/20/2021,Connor Group,Electronic,Yes,28,Yes,,,,Yes,,
19970,3/22/2021,Underwriters Laboratories Inc. and UL Inc.,Electronic,Yes,5,Yes,,,,Yes,,
19971,3/22/2021,Michigan Nonprofit Association,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
19972,3/22/2021,Solairus Aviation,Electronic,Yes,10,,Yes,Yes,Yes,Yes,,
19973,3/22/2021,Chapman University,Electronic,Yes,5,Yes,,,,Yes,,
19974,3/22/2021,"Wells Fargo Clearing Services, LLC",Electronic,Yes,2,,Yes,,,Yes,,
19975,3/22/2021,Evening Telegram Company d/b/a Morgan Murphy Media,Electronic,Yes,87,Yes,,,,Yes,,
19976,3/22/2021,Olson Remcho LLP,Paper,Yes,1,Yes,,,,Yes,,
19977,3/22/2021,"Veriha Trucking, Inc.",Electronic,Yes,2,Yes,Yes,Yes,Yes,Yes,,
19978,3/22/2021,"Quicken Loans, Inc",Electronic,Yes,2,,Yes,,,Yes,,
19979,3/22/2021,El Paso Electric Company,Electronic,Yes,3,Yes,,,,Yes,,
19980,3/22/2021,Quontic Bank,Electronic,Yes,81,Yes,Yes,Yes,Yes,Yes,,
19981,3/22/2021,L.B. Foster Company,Electronic,Yes,6,Yes,Yes,,,Yes,,
19982,3/22/2021,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,
19983,3/22/2021,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
19984,3/22/2021,WINCHESTER SAVINGS BANK,Electronic,,5,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
19960,3/23/2021,"PracticeLink, Ltd.",Electronic,Yes,2,,,,Yes,,,
19961,3/23/2021,Foley & Lardner LLP,Electronic,,36,Yes,,,,Yes,,
19962,3/23/2021,The Boy's Latin School of Maryland,Electronic,,3,Yes,,,,Yes,,
19963,3/23/2021,Dedham Savings,Electronic,Yes,1,,Yes,,,,,
19964,3/23/2021,The Klein Company,Electronic,Yes,2,Yes,Yes,Yes,Yes,Yes,,
19965,3/23/2021,"OmniTRAX, Inc.",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
19966,3/23/2021,"Moto Inc., FKG Oil Company, d/b/a Moto and MotoMart c- stores, and Gia's Pizza",Electronic,Yes,1,Yes,,,,Yes,,
19967,3/23/2021,"Hagerty Insurance Agency, LLC",Electronic,Yes,330,,,Yes,,Yes,,
19968,3/23/2021,Rockland Trust,Electronic,,1,,Yes,,,Yes,,
19969,3/23/2021,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,
19910,3/23/2021,Security Industry Specialists,Electronic,Yes,203,Yes,Yes,Yes,,Yes,,
19904,3/23/2021,North Shore Medical Center,Electronic,Yes,1,Yes,,,,Yes,,
19900,3/23/2021,Cambridge Savings Bank,Electronic,Yes,1,Yes,,,,Yes,,
20282,3/23/2021,Merrick & Company,Electronic,Yes,10,Yes,,,,Yes,,
19957,3/24/2021,"Tower Hill Insurance Group, LLC",Electronic,Yes,1,Yes,,,,Yes,,
19958,3/24/2021,Millbrook School,Electronic,,1,Yes,,,,Yes,,
19959,3/24/2021,St Mary's Credit Union,Electronic,,1,,,,Yes,,,
20049,3/24/2021,The National Wildlife Federation,Electronic,,2882,,,,Yes,,,
20050,3/24/2021,"Colin Rockey Hackett Law, PC",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,Yes
20051,3/24/2021,Inter-State Studio & Publishing Co.,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
20052,3/24/2021,"Capcom U.S.A, Inc.",Electronic,Yes,121,Yes,,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20053,3/24/2021,Cape Cod Five,Electronic,Yes,1,,Yes,,,,,
20055,3/24/2021,The Village Bank,Electronic,,1,,,,Yes,,,
20056,3/24/2021,Grieco & Adelman LLC,Electronic,Yes,1,Yes,,,,Yes,,
20039,3/25/2021,Clements Financial Services,Electronic,Yes,3,Yes,,,,Yes,,
20040,3/25/2021,The Centers for Advanced Orthopaedics,Electronic,Yes,28,Yes,,,,Yes,,
20041,3/25/2021,"Mirabito Holdings, Inc",Electronic,Yes,13,Yes,,,,Yes,,
20042,3/25/2021,Miller's Ale House,Electronic,Yes,88,Yes,Yes,,,Yes,,
20043,3/25/2021,T.L. Asset Management Corporation,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
20044,3/25/2021,Fat Face Limited,Electronic,Yes,59,Yes,Yes,Yes,,Yes,,
20045,3/25/2021,KIPP Colorado Schools,Electronic,Yes,1,Yes,Yes,,,Yes,,
20046,3/25/2021,"Caryn M. Feldman, CPA, MST",Paper,,2,Yes,Yes,,,Yes,,
20048,3/25/2021,Rosa Mexicano Company,Electronic,Yes,924,Yes,,Yes,Yes,Yes,,
20027,3/26/2021,"New Bedford Jewish Convalescent Home, Inc.",Electronic,Yes,812,Yes,Yes,,,Yes,,
20028,3/26/2021,Premier Tech Limited,Electronic,Yes,3,Yes,Yes,,,Yes,,
20029,3/26/2021,"BioTel Heart (a trade name under which both CardioNet, LLC and LifeWatch, Inc., operate)",Electronic,,407,Yes,,,,Yes,,
20030,3/26/2021,Kohler Credit Union,Electronic,Yes,3,Yes,Yes,,,Yes,,
20031,3/26/2021,Perkins & Co,Electronic,,12,Yes,,,,Yes,,
20032,3/26/2021,Lexington Medical Center,Electronic,,7,Yes,,,,Yes,,
20033,3/26/2021,Salem Five Cents Savings Bank,Electronic,,186,,,,Yes,,,
20034,3/26/2021,Elizabeth City State University,Electronic,Yes,55,Yes,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20035,3/26/2021,The Village Bank,Electronic,,1,,,,Yes,,,
20036,3/26/2021,"Marmon Holdings, Inc.",Electronic,,1,,,Yes,,Yes,,
20037,3/26/2021,Plimpton & Hills Corporation,Electronic,Yes,13,Yes,,,,Yes,,
20038,3/26/2021,"Intradeco Holdings, Inc. d/b/a Headsweats",Electronic,,3,,,,Yes,,,
20021,3/29/2021,"Liberty Mutual Group, Inc",Electronic,Yes,625,,,Yes,,Yes,,
20022,3/29/2021,"The Vertex Companies, Inc",Electronic,Yes,4,Yes,,,,Yes,,
20023,3/29/2021,Long & Levit,Electronic,Yes,1,,Yes,,,Yes,,
20024,3/29/2021,St Mary's Credit Union,Electronic,,2,,Yes,,Yes,,,
20025,3/29/2021,Southern Mass Credit Union,Paper,Yes,1,,Yes,,,Yes,,
20026,3/29/2021,WINCHESTER SAVINGS BANK,Electronic,,4,,,,Yes,,,
20058,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20059,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20060,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20061,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20062,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20063,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20064,3/29/2021,Adams Community Bank,Electronic,,2,,,,Yes,,,
20065,3/29/2021,Adams Community Bank,Electronic,,2,,,,Yes,,,
20066,3/29/2021,Adams Community Bank,Electronic,,1,,,,Yes,,,
20067,3/29/2021,Adams Community Bank,Electronic,,1,,,,Yes,,,
20068,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20069,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20070,3/29/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20071,3/29/2021,"Trade Source, Inc.",Electronic,Yes,3036,Yes,,,,Yes,,
20008,3/30/2021,"Holmes Murphy and Associates, LLC",Electronic,Yes,2,Yes,,,,Yes,,
20009,3/30/2021,KHJ Brand Activation,Electronic,Yes,185,Yes,,,,Yes,,
20010,3/30/2021,"CBIZ Accounting, Tax & Advisory of Utah, LLC",Electronic,Yes,1,Yes,,,,Yes,,
20011,3/30/2021,"AmeriGas Propane, L.P",Electronic,,4,,,,Yes,Yes,,
20012,3/30/2021,Massachusetts Department of Transportation Registry of Motor Vehicles,Electronic,Yes,1,,,Yes,,,,
20013,3/30/2021,Fitchburg State University,Electronic,Yes,4,,Yes,,,,,
20014,3/30/2021,Windmill Health Products,Electronic,Yes,5,Yes,,,,Yes,,
20015,3/30/2021,Curlew Hills Memory Gardens,Electronic,Yes,22,Yes,,,,Yes,,
20016,3/30/2021,"American Express Travel Related Services Company, Inc.",Electronic,,185,,,,Yes,,,
20017,3/30/2021,The College of Health Care Professions,Electronic,Yes,8,Yes,,,,Yes,,
20018,3/30/2021,Personal Touch Holding Corp.,Electronic,,29315,Yes,Yes,Yes,Yes,Yes,,
20019,3/30/2021,Capital One,Paper,Yes,23,,Yes,,,Yes,,
20020,3/30/2021,"Suburban Collection Holdings, LLC",Electronic,Yes,15,Yes,,Yes,,Yes,,
20072,3/31/2021,"SE & Associates Management Group, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
20073,3/31/2021,The Walman Optical Company,Electronic,Yes,13,Yes,,,,Yes,,
20074,3/31/2021,The Village Bank,Electronic,,2,,,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20057,3/31/2021,Catholic Health Association of the United States,Electronic,Yes,2,,,,Yes,Yes,,
20108,3/31/2021,T-Mobile,Electronic,Yes,1,,,Yes,,Yes,,
20109,3/31/2021,Westfield State University,Electronic,,1,Yes,,,,Yes,,
20110,3/31/2021,Capital One,Paper,Yes,10,Yes,Yes,Yes,,Yes,,
20102,4/1/2021,"Lake Shore Cryotronics, Inc",Electronic,Yes,6,,Yes,,,Yes,,
20103,4/1/2021,"Cardiva Medical, Inc.",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
20104,4/1/2021,Community Access Unlimited,Electronic,Yes,6,Yes,Yes,,,Yes,,
20105,4/1/2021,"Nachi America, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
20106,4/1/2021,American Access Casualty Company,Electronic,Yes,1,Yes,,,,Yes,,
20107,4/1/2021,"Rugs Direct Holdings, LLC",Electronic,Yes,1,Yes,Yes,,,Yes,,
20090,4/2/2021,"PrimeLending, A PlainsCaptial Company",Electronic,Yes,2,,Yes,,,Yes,,
20091,4/2/2021,Slate & Tell LLC,Electronic,Yes,586,,,,Yes,,,
20092,4/2/2021,"Jounce Therapeutics, Inc",Electronic,Yes,270,Yes,Yes,Yes,Yes,Yes,,
20093,4/2/2021,Bricker & Eckler LLP,Electronic,Yes,83,Yes,,Yes,,Yes,,
20094,4/2/2021,"Crestline Hotels & Resorts, LLC",Electronic,Yes,124,Yes,,,,Yes,,
20095,4/2/2021,Salem Five Cents Savings Bank,Electronic,,1,Yes,Yes,,,Yes,,
20096,4/2/2021,Massachusetts General Hospital,Electronic,Yes,1,,Yes,,,,,
20097,4/2/2021,Atria Senior Living,Electronic,Yes,2,Yes,,,,Yes,,
20098,4/2/2021,The Village Bank,Electronic,,1,,,,Yes,,,
20099,4/2/2021,Shoott,Electronic,Yes,12,Yes,,,,Yes,,
20100,4/2/2021,PKF O'Connor Davies,Electronic,,22,Yes,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20101,4/2/2021,Webster Five Cents Savings Bank,Electronic,,26,,,,Yes,,,
20089,4/4/2021,Perkins & Co.,Electronic,,1,Yes,,,,Yes,,
20112,4/5/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20113,4/5/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20114,4/5/2021,Brigham and Women's Hospital,Paper,Yes,1,,,,,Yes,,
20115,4/5/2021,First Bank,Electronic,Yes,2,Yes,,,,Yes,,
20083,4/5/2021,"Trusted Health Plans, Inc.",Electronic,Yes,28,Yes,,,,Yes,,
20084,4/5/2021,Trinity Health,Electronic,Yes,152,Yes,,,,Yes,,
20085,4/5/2021,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
20086,4/5/2021,Higher Education Servicing Corporation,Electronic,Yes,42,Yes,,Yes,,Yes,,
20087,4/5/2021,"M. J. Engineering and Land Surveying, P. C.",Electronic,Yes,2,Yes,,,,Yes,,
20088,4/5/2021,"Wells Fargo Clearing Services, LLC",Paper,Yes,1,,Yes,,,Yes,,
20076,4/6/2021,"Simms Fishing Products, LLC",Electronic,,1,,,,Yes,,,
20077,4/6/2021,"Minnetonka Moccasin Company, Inc.",Electronic,Yes,1104,,,,Yes,,,
20078,4/6/2021,ExecuSearch Holdings LLC,Electronic,Yes,637,Yes,,,,Yes,,
20079,4/6/2021,Marines' Memorial Association and Foundation,Electronic,,56,Yes,Yes,,Yes,Yes,,
20080,4/6/2021,Bed Bath & Beyond Inc,Paper,Yes,1,,,,Yes,Yes,,
20081,4/6/2021,SAVERS BANK,Electronic,,1,,,,Yes,,,
20082,4/6/2021,Hotel Vermont,Electronic,,61,,,,Yes,,,
20075,4/7/2021,St. Mary's Credit Union,Electronic,,2,,Yes,,Yes,,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20116,4/7/2021,American Society for Clinical Pathology,Electronic,Yes,660,,,,Yes,,,
20117,4/7/2021,The Cooperative Bank of Cape Cod,Electronic,,167,,,,Yes,,,
20111,4/7/2021,Northeast Rehabilitation Hospital Network,Electronic,Yes,1,,,,,,,
20166,4/7/2021,Brady Sullivan Properties,Electronic,Yes,1,Yes,,,,Yes,,
20167,4/7/2021,"Carvana, LLC",Paper,,1,,,Yes,,,,
20168,4/7/2021,"Guaranteed Rate Affinity, LLC",Electronic,Yes,2,Yes,Yes,,Yes,Yes,,
20169,4/7/2021,"Active Lifestyle Products & Services, Inc., d/b/a ALPS Brands",Electronic,Yes,186,,,,Yes,,,
20170,4/7/2021,The Law Offices of Joseph L. Bornstein,Electronic,Yes,14,Yes,,Yes,,Yes,,
20171,4/7/2021,"Stroudwater Associates, Inc",Electronic,,5,Yes,Yes,Yes,,Yes,,
20182,4/7/2021,"Guaranteed Rate, Inc",Electronic,Yes,12,Yes,Yes,,Yes,Yes,,
20172,4/8/2021,"Atlantic Media, Inc.",Electronic,Yes,341,Yes,,,,Yes,,
20160,4/8/2021,"Aero Design & Manufacturing, Inc.",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
20161,4/8/2021,Tanton Grubman CPAs LLP,Electronic,Yes,41,Yes,Yes,,,Yes,,
20162,4/8/2021,Aspect Wealth Management,Electronic,Yes,2,Yes,,,,Yes,,
20163,4/8/2021,"Gaming Arts, LLC",Electronic,Yes,2,Yes,,Yes,,Yes,,
20164,4/8/2021,"C.E. Floyd Company, Inc",Paper,,49,Yes,Yes,Yes,Yes,Yes,,
20165,4/8/2021,"Manning & Napier Advisors, LLC",Electronic,Yes,1,Yes,Yes,,,Yes,,
20153,4/9/2021,Crystal Lake Clinic PC,Electronic,Yes,12,,,Yes,,,,
20154,4/9/2021,The Village Bank,Electronic,,1,,,,Yes,,,
20155,4/9/2021,TD Bank N.A.,Paper,Yes,2,,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20156,4/9/2021,Hobart and William Smith Colleges,Electronic,,4,Yes,,,,Yes,,
20157,4/9/2021,"Ameriprise Financial, Inc",Paper,Yes,1,Yes,,,,Yes,,
20158,4/9/2021,AllianceBernstein L.P,Electronic,Yes,1,Yes,,,,Yes,,
20159,4/9/2021,WINCHESTER SAVINGS BANK,Electronic,,3,,,,Yes,,,
20147,4/9/2021,"Hamilton Beach Brands, Inc.",Electronic,Yes,181,,,,Yes,,,
20148,4/9/2021,Schnabel Foundation Company,Electronic,,8,Yes,Yes,Yes,,Yes,,
20149,4/9/2021,"Natural Retreats Management, LLC",Electronic,Yes,64,Yes,Yes,,,Yes,,
20150,4/9/2021,"Wells Fargo Bank, N.A.",Electronic,,1,,Yes,,Yes,Yes,,
20151,4/9/2021,Serenity Care PACE reporting breach at PeakTPA,Electronic,,658,Yes,,,,Yes,,
20181,4/9/2021,"Harbor Health Services, Inc.",Electronic,,901,Yes,,,,Yes,,
20146,4/10/2021,Perkins & Co,Electronic,,3,Yes,,,,Yes,,
20145,4/11/2021,St. Johnsbury Academy,Electronic,,27,Yes,,,,Yes,,
20173,4/12/2021,Eastern Bank,Electronic,,95,,,,Yes,,,
20174,4/12/2021,Mutual One Bank,Electronic,,1,Yes,Yes,,,,,
20175,4/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20176,4/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20177,4/12/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20178,4/12/2021,Main Street Bank,Electronic,,2,,,,Yes,,,
20179,4/12/2021,Main Street Bank,Electronic,,1,,,,Yes,,,
20134,4/12/2021,Iscential Inc.,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,
20135,4/12/2021,Southern Mass Credit Union,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20136,4/12/2021,"Travel Nurse Across America, LLC",Electronic,Yes,2,Yes,Yes,,,Yes,,
20137,4/12/2021,Ag Solutions IT LLC,Electronic,Yes,10,Yes,,,,Yes,,
20138,4/12/2021,Washington Education Association,Electronic,Yes,17,Yes,,,,Yes,,
20139,4/12/2021,Yeshiva University,Electronic,Yes,37,Yes,Yes,,,Yes,,
20141,4/12/2021,Town of Falmouth Public Schools,Paper,Yes,2,Yes,,,,Yes,,
20142,4/12/2021,Fairway Independent Mortgage Corporation,Electronic,Yes,235,Yes,Yes,,Yes,Yes,,
20143,4/12/2021,"Ameriprise Financial, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
20144,4/12/2021,The Tobin Project,Electronic,Yes,9,Yes,Yes,,,Yes,,Yes
20126,4/13/2021,Government Employees Insurance Company,Electronic,Yes,1135,,,Yes,,,,
20127,4/13/2021,"American Express Travel Related Services Company, Inc.",Electronic,,620,,,,Yes,,,
20128,4/13/2021,"American Express Travel Related Services Company, Inc.",Electronic,,75,,,,Yes,,,
20129,4/13/2021,"James P. Reagan Agency, Inc.",Electronic,,1,Yes,,,,Yes,,
20130,4/13/2021,"Sagepoint Financial, Inc.",Electronic,Yes,12,Yes,Yes,,,Yes,,
20131,4/13/2021,"American Express Travel Related Services Company, Inc.",Electronic,,12,,,,Yes,,,
20132,4/13/2021,"American Express Travel Related Services Company, Inc.",Electronic,,72,,,,Yes,,,
20133,4/13/2021,Cuyahoga Metropolitan Housing Authority,Electronic,Yes,45,Yes,Yes,Yes,,Yes,,
20118,4/14/2021,"Don Roberto Jewelers, Inc",Electronic,Yes,10,Yes,Yes,Yes,,Yes,,
20119,4/14/2021,"APC Workforce Solutions, LLC.",Electronic,Yes,39,Yes,,Yes,,Yes,,
20120,4/14/2021,"Audacy, Inc",Electronic,Yes,1,Yes,,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20121,4/14/2021,"Just Media, Inc.",Electronic,,1,Yes,,,,Yes,,
20122,4/14/2021,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
20123,4/14/2021,The Village Bank,Electronic,,1,,,,Yes,,,
20124,4/14/2021,"American Express Travel Related Services Company, Inc.",Electronic,,81,,,,Yes,,,
20125,4/14/2021,Chadron State Foundation,Electronic,,6,Yes,,,,Yes,,
20180,4/14/2021,Bank of America,Paper,Yes,5,Yes,,,,Yes,,
20224,4/15/2021,"AmeriFirst Financial, Inc.",Electronic,Yes,63,Yes,Yes,Yes,,Yes,,
20225,4/15/2021,Walgreen Co.,Electronic,Yes,1,Yes,,,,Yes,,
20226,4/15/2021,Resort Lifestyle Communities,Electronic,Yes,22,Yes,Yes,,,Yes,,
20227,4/15/2021,Massachusetts General Hospital,Electronic,Yes,1,,,,,,,
20214,4/16/2021,Pathfinder LLD Insurance Group LLC,Electronic,Yes,94,Yes,Yes,Yes,Yes,Yes,,
20215,4/16/2021,Michigan Fitness Foundation,Electronic,Yes,1,,Yes,,,,,
20216,4/16/2021,"FPI Management, Inc.",Electronic,Yes,13,Yes,,,,Yes,,
20217,4/16/2021,The Village Bank,Electronic,,1,,,,Yes,,,
20218,4/16/2021,"Acclivity Financial, LLC, a subsidiary of Citizens Bank, a Tennessee banking corporation",Electronic,Yes,17,Yes,Yes,Yes,Yes,Yes,,
20219,4/16/2021,"American Express Travel Related Services Company, Inc.",Electronic,,27,,,,Yes,,,
20220,4/16/2021,NSTAR Electric Company dba Eversource Energy,Electronic,Yes,10198,Yes,,,,Yes,,
20221,4/16/2021,"American Express Travel Related Services Company, Inc.",Electronic,,4,,,,Yes,,,
20222,4/16/2021,CNB Bank,Electronic,Yes,5,,Yes,,,Yes,,
Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
20223,4/16/2021,"American Express Travel Related Services Company, Inc",Electronic,,5,,,,Yes,,,
20212,4/17/2021,"Enterprise Community Loan Fund, Inc",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
20213,4/17/2021,"OK Foods, Inc.",Electronic,Yes,21,Yes,Yes,,,Yes,,
20209,4/19/2021,Rockland Trust,Electronic,Yes,1,,Yes,,Yes,Yes,,
20210,4/19/2021,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
20211,4/19/2021,"Sigora Solar, LLC",Electronic,Yes,1,Yes,,,,Yes,,
20207,4/20/2021,Timber Creek,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
20208,4/20/2021,Regis University,Paper,Yes,1,Yes,,,,Yes,,
20205,4/20/2021,Sauder Manufacturing Co.,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
20200,4/20/2021,"TaxHawk, Inc.",Paper,Yes,2043,Yes,Yes,,,Yes,,
20201,4/20/2021,"Wells Fargo Bank, N.A.",Paper,Yes,1,Yes,Yes,,,Yes,,
20202,4/20/2021,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
20203,4/20/2021,TIAA,Electronic,Yes,1,Yes,Yes,,,Yes,,
20183,4/20/2021,Kohler Hospitality,Electronic,,3,,,,Yes,Yes,,
20184,4/20/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20185,4/20/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
20186,4/20/2021,"On Q Financial, Inc.",Electronic,Yes,262,Yes,Yes,,,Yes,,
20187,4/20/2021,mailmyprescriptions.com Pharmacy Corporation,Electronic,Yes,570,,,,,,,
20188,4/20/2021,Columbia-Greene Community College,Electronic,Yes,2,Yes,,,,Yes,,
20189,4/20/2021,Mutual One Bank,Electronic,,1,,,,Yes,,,
