Assigned Breach Number,Year,Date Reported To OCA,Organization Name,MA Residents Affected,Breach Occured at Reporting Entity,SSN Breached,Drivers Licenses Breached,Account Number Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
18342,2020,12/16/2020,Girl Scouts of Middle Tennessee,2,0,0,0,1,0,0,0,0
18343,2020,12/16/2020,Cary Academy,5,0,1,0,0,0,1,0,0
18345,2020,12/16/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18346,2020,12/16/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18347,2020,12/16/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18316,2020,12/16/2020,Raymond James Financial,2,1,0,0,1,0,1,0,0
18441,2020,12/16/2020,"The Pike School, Inc.",140,0,1,0,0,0,1,0,0
18442,2020,12/16/2020,"Royal Bancshares, Inc",7,0,1,0,1,0,1,0,0
18443,2020,12/16/2020,PeaceHealth,2,0,0,0,1,0,0,0,0
18444,2020,12/16/2020,NexTier Bank,51,0,1,0,1,0,1,0,0
18445,2020,12/16/2020,"DOROT, Inc.",2,0,1,0,0,0,1,0,0
18446,2020,12/16/2020,Theragenics Corporation,139,1,1,0,1,0,1,0,0
18404,2020,12/17/2020,The Village Bank,3,0,0,0,0,1,0,0,0
18423,2020,12/17/2020,"HD Wellness, LLC dba Unify Health Labs",3,0,0,0,0,1,0,0,0
18424,2020,12/17/2020,Cali Pet Nutrients LLC dba Ultimate Pet Nutrition,5,0,0,0,0,1,0,0,0
18425,2020,12/17/2020,"Probiotic America, LLC dba Probiotic America",1,0,0,0,0,1,0,0,0
18426,2020,12/17/2020,The Lincoln National Life Insurance Company,2,1,1,0,1,0,1,0,0
18427,2020,12/17/2020,"THGH Partners, LLC dba Power Life",1,0,0,0,0,1,0,0,0
18430,2020,12/17/2020,"One Two Cosmetics, LLC dba One Two Cosmetics",1,0,0,0,0,1,0,0,0
18431,2020,12/17/2020,"Pacific Health Supplements, LLC dba Nucific",28,0,0,0,0,1,0,0,0
18432,2020,12/17/2020,"Living Cell Research, LLC dba LCR",6,0,0,0,0,1,0,0,0
18433,2020,12/17/2020,"Agoura Health Products, LLC dba Gundry MD",89,0,0,0,0,1,0,0,0
18434,2020,12/17/2020,"J.C. Cannistraro, LLC",1419,1,1,1,1,0,1,0,0
18435,2020,12/17/2020,"California Pet Partners, LLC dba Dr. Marty",3,0,0,0,0,1,0,0,0
18436,2020,12/17/2020,"California Skin Products, LLC dba DermalMedix",3,0,0,0,0,1,0,0,0
18437,2020,12/17/2020,"DSMB Partners, LLC dba City Beauty",89,0,0,0,0,1,0,0,0
18438,2020,12/17/2020,"Beverly Hills MD, LLC dba Beverly Hills MD",21,0,0,0,0,1,0,0,0
18439,2020,12/17/2020,"DSMB Partners, LLC dba ActivatedYou",13,0,0,0,0,1,0,0,0
18413,2020,12/18/2020,Mass General Brigham Incorporated,28465,0,1,0,0,0,1,0,0
18414,2020,12/18/2020,Toledo Public Schools,16,1,1,1,1,0,1,0,0
18415,2020,12/18/2020,Webster Five Cents Savings Bank,22,0,0,0,0,1,0,0,0
18416,2020,12/18/2020,Delbarton School,566,0,1,0,0,0,1,0,0
18417,2020,12/18/2020,Jose R. Carrion Chapter 12 & 13 Trustee,3,0,1,0,1,0,0,0,0
18418,2020,12/18/2020,"The Community Foundation of Herkimer & Oneida Counties, Inc.",2,0,1,0,0,0,1,0,0
18419,2020,12/18/2020,Eagle Bank,3,0,0,0,0,1,0,0,0
18420,2020,12/18/2020,"Priority One Financial Services, Inc.",1,1,1,1,0,0,1,0,0
18421,2020,12/18/2020,"American Express Travel Related Services Company, Inc.",4,0,0,0,0,1,0,0,0
18422,2020,12/18/2020,Northeastern University,1,1,1,0,0,0,1,0,0
18384,2020,12/18/2020,Friends Seminary,44,0,1,0,0,0,1,0,0
18385,2020,12/18/2020,"Devine, Millimet & Branch, P.A.",5707,1,1,0,1,0,1,0,0
18386,2020,12/18/2020,Oakwood Bank,3,1,1,0,1,0,1,0,0
18387,2020,12/18/2020,Community Bank of Cameron,4,0,1,0,1,0,1,0,0
18388,2020,12/18/2020,IPG Photonics Corporation,11,1,0,0,1,1,0,0,0
18389,2020,12/18/2020,GeoStabilization International,1,1,1,0,0,1,1,0,0
18390,2020,12/18/2020,InFirst Bank,37,0,1,0,1,0,1,0,0
18391,2020,12/18/2020,"A2Z Field Services, LLC",42,1,1,1,1,0,1,0,0
18369,2020,12/21/2020,Wichita Collegiate School,2,0,1,0,0,0,1,0,0
18370,2020,12/21/2020,Colony Hardware,53,1,1,1,0,0,1,0,0
18371,2020,12/21/2020,"Cerapedics, Inc.",0,1,1,0,0,0,1,0,0
18372,2020,12/21/2020,"RGT Wealth Advisors, LLC",6,1,1,0,1,0,1,0,0
18375,2020,12/21/2020,The New York City Convention Center Operating Corporation d/b/a Javits Center,11,1,1,1,0,0,1,0,0
18377,2020,12/21/2020,Raymond James Financial,1,1,0,0,1,0,1,0,0
18378,2020,12/21/2020,"Costner Law Office, PLLC",2,1,1,0,0,0,1,0,0
18379,2020,12/21/2020,Peabody & Arnold LLP,67,1,1,1,1,0,1,0,0
18380,2020,12/21/2020,Playhouse Square Foundation,5,1,1,0,0,1,1,0,0
18381,2020,12/21/2020,SAVERS BANK,3,0,0,0,0,0,0,0,0
18383,2020,12/21/2020,"American Express Travel Related Services Company, Inc",453,0,0,0,0,1,0,0,0
18361,2020,12/22/2020,"Angel Oak Home Loans, LLC",6,1,1,1,1,0,1,0,0
18362,2020,12/22/2020,DPR Construction,1,0,1,0,0,0,1,0,0
18363,2020,12/22/2020,IMI Precision Engineering d/b/a Bimba Manufacturing,17,0,0,0,0,1,0,0,0
18365,2020,12/22/2020,Benjamin Rose Institute on Aging,1,1,1,0,0,0,1,0,0
18367,2020,12/22/2020,Laboure College,25,1,1,0,0,0,1,0,0
18368,2020,12/22/2020,Cowboy Bancshares Inc. d/b/a Bank of Kremlin,3,0,1,0,0,0,1,0,0
18373,2020,12/23/2020,II-VI Incorporated,29,1,1,0,0,0,1,0,0
18392,2020,12/23/2020,Florence Bank,1,1,1,0,1,0,1,0,0
18393,2020,12/23/2020,"MEDNAX Services, Inc.",2,1,1,0,0,0,1,0,0
18348,2020,12/23/2020,Way Finders,1,1,1,0,0,0,1,0,0
18349,2020,12/23/2020,"Envestnet Technologies, Inc.",64,1,1,1,0,0,1,0,0
18350,2020,12/23/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
18351,2020,12/23/2020,"Rem Optical Company, Inc. d/b/a De Rigo Rem",1,1,1,0,0,0,1,0,0
18352,2020,12/23/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18353,2020,12/23/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18354,2020,12/23/2020,Paysafe Group Holdings Limited,1113,1,1,0,1,0,1,0,0
18355,2020,12/23/2020,Eastern Bank,1502,0,0,0,0,1,0,0,0
18356,2020,12/23/2020,"JPMorgan Chase Bank, N.A.",31,1,1,0,1,0,1,0,0
18358,2020,12/23/2020,Veronica Beard,3,1,1,0,0,0,1,0,0
18359,2020,12/23/2020,Washington State Bar Association,6,1,0,0,0,1,1,0,0
18360,2020,12/23/2020,thyssenkrupp rothe erde USA Inc.,1,1,1,0,1,0,1,0,0
18271,2020,12/23/2020,Main Street Bank,1,0,0,0,0,1,0,0,0
18409,2020,12/23/2020,"Lime Media Group, Inc.",5,1,1,1,1,0,1,0,0
18410,2020,12/23/2020,The Nightingale-Bamford School,15,0,1,0,1,0,1,0,0
18411,2020,12/23/2020,"Metabolic Maintenance Products, Inc.",260,1,0,0,0,0,0,0,0
18412,2020,12/23/2020,"Tree Top, Inc.",9,1,1,0,1,0,1,0,0
18407,2020,12/24/2020,Holy Ghost Preparatory School,1,0,1,0,0,0,1,0,0
18408,2020,12/24/2020,"Troy A. Washko, CPA, P.C.",3,1,1,0,1,0,1,0,0
18405,2020,12/28/2020,"Window to the World Communications, Inc.",4,1,1,0,1,0,1,0,0
18406,2020,12/28/2020,Massachusetts General Hospital,1,1,0,0,1,0,0,0,0
18400,2020,12/28/2020,Central Illinois Carpenters Retirement Savings Fund,272,1,1,0,0,0,1,0,0
18401,2020,12/28/2020,"The Infosoft Group LLC, dba Circa",2,1,1,0,0,0,1,0,0
18402,2020,12/28/2020,"Liberty Title Agency, Inc.",11,1,1,0,1,0,1,0,0
18403,2020,12/28/2020,The Village Bank,2,0,0,0,0,1,0,0,0
18394,2020,12/29/2020,First State Bank,3,0,1,0,1,0,1,0,0
18395,2020,12/29/2020,College of St. Scholastica,3,0,1,0,1,0,1,0,0
18397,2020,12/29/2020,The King School,6,0,1,0,0,0,1,0,0
18398,2020,12/29/2020,Richardson Sales Performance,3,1,1,0,0,0,1,0,0
18399,2020,12/29/2020,Carson Bank,7,0,1,0,1,0,1,0,0
18506,2020,12/29/2020,"Winston-Salem Industries for the Blind, Inc. dba IFB Solutions",1,0,0,0,1,0,0,0,0
18499,2020,12/30/2020,Partnership to End Addiction,23,0,0,0,1,0,1,0,0
18500,2020,12/30/2020,747 Capital LLC,2,0,1,0,1,0,1,0,0
18501,2020,12/30/2020,International Union of Bricklayers and Allied Craftworkers,2951,1,1,1,1,0,1,0,0
18502,2020,12/30/2020,"Orchestrate Healthcare Consulting, LLC",10,1,1,0,1,0,1,0,0
18503,2020,12/30/2020,Sugar Bowl Corporation,14,1,1,0,0,1,1,0,0
18504,2020,12/30/2020,Darlington School,10,1,1,0,1,0,1,0,0
18447,2020,12/30/2020,Campari Group,14,1,1,0,0,0,1,0,0
18448,2020,12/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18449,2020,12/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18450,2020,12/30/2020,Mutual One Bank,1,0,0,0,0,1,0,0,0
18451,2020,12/30/2020,"Billing, Cochran, Mauro & Ramsey, P.A.",1,1,1,0,0,0,1,0,0
18452,2020,12/30/2020,"Agency for Community Treatment Services, Inc.",15,1,1,0,0,0,1,0,0
18454,2020,12/30/2020,"Wells Fargo Bank, N.A.",3,0,0,0,1,0,1,0,0
18455,2020,12/30/2020,"Southcoast Hospitals Group, Inc. and Southcoast Physicians Group, Inc",1,1,1,0,0,0,1,0,0
18490,2020,12/31/2020,REEF Global Inc.,9,1,1,0,0,0,1,0,0
18491,2020,12/31/2020,Canterbury School,20,0,1,0,1,0,1,0,0
18492,2020,12/31/2020,"Ontario Systems, LLC",8,1,1,1,0,1,1,0,0
18493,2020,12/31/2020,Workplace Vitality Inc.,1,1,1,1,0,0,1,0,0
18494,2020,12/31/2020,Kent Place School,12,0,1,0,0,0,1,0,0
18495,2020,12/31/2020,"Thomas D. Mangelsen, Inc.",2,0,0,0,0,1,0,0,0
18496,2020,12/31/2020,University School of Nashville,11,0,1,0,1,0,1,0,0
18497,2020,12/31/2020,"Residential Mortgage Services, Inc.",127,1,1,1,0,1,1,0,0
18498,2020,12/31/2020,"Global Growth Holdings, Inc.",160,1,1,1,1,1,1,0,0
18488,2021,1/2/2021,"Anchor General Insurance Agency, Inc.",2,1,0,1,0,0,1,0,0
18478,2021,1/4/2021,Matson Navigation Company,375,1,1,0,0,0,1,0,0
18481,2021,1/4/2021,Kingswood Oxford School,40,0,1,0,0,0,1,0,0
18483,2021,1/4/2021,LineMaster Switch Corp & Footworks LLC,10,1,1,1,0,0,1,0,0
18485,2021,1/4/2021,Treasure Valley Community College,5,1,1,0,0,0,1,0,0
18486,2021,1/4/2021,"Worcester Community Action Council, Inc",9,1,1,1,1,0,1,0,0
18487,2021,1/4/2021,"Peter Pan Seafoods, Inc.",1,1,1,0,0,0,1,0,0
24784,2021,1/4/2021,SAVERS BANK,1,0,0,0,0,1,0,0,0
24785,2021,1/4/2021,SAVERS BANK,1,0,0,0,0,1,0,0,0
24788,2021,1/4/2021,Albright Capital Management,1,1,1,0,0,0,1,0,0
18470,2021,1/5/2021,"Paddock Publications, Inc.",15,1,1,0,1,0,1,0,0
18471,2021,1/5/2021,South Country Health Alliance,17,1,1,0,0,0,1,0,0
18472,2021,1/5/2021,"American Express Travel Related Services Company, Inc.",336,0,0,0,0,1,0,0,0
18475,2021,1/5/2021,Liberty Christian School,2,0,1,0,0,0,1,0,0
18476,2021,1/5/2021,St. Mary's Credit Union,4,0,0,0,0,1,0,0,0
18477,2021,1/5/2021,The Village Bank,1,0,0,0,0,1,0,0,0
18396,2021,1/6/2021,SAVERS BANK,2,0,0,0,0,1,0,0,0
18456,2021,1/6/2021,Bay Cove Human Services,1,1,0,0,0,0,0,0,0
18457,2021,1/6/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18459,2021,1/6/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18460,2021,1/6/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18461,2021,1/6/2021,"BlueCross BlueShield of Tennessee, Inc.",3,0,1,0,0,0,1,0,0
18462,2021,1/6/2021,Charleston Day School,1,0,1,0,0,0,1,0,0
18463,2021,1/6/2021,North Shore Medical Center,1,1,1,0,0,0,1,0,0
18464,2021,1/6/2021,"Bay State Community Services, Inc.",1,1,1,0,0,0,1,0,0
18465,2021,1/6/2021,Watertown Savings Bank,3,0,0,0,0,1,0,0,0
18466,2021,1/6/2021,The Governor's Academy,1409,0,1,0,0,0,1,0,0
18469,2021,1/6/2021,Francis Parker School,1,0,1,0,0,0,1,0,0
18505,2021,1/6/2021,Dassault Falcon Jet Corp.,31,1,1,1,1,0,1,0,0
18552,2021,1/6/2021,Porter Gaud School,3,0,1,0,0,0,1,0,0
18543,2021,1/7/2021,"Tighe & Bond, Inc.",664,0,1,0,0,0,1,0,0
18544,2021,1/7/2021,Kents Hill School,253,0,1,0,0,0,1,0,0
18546,2021,1/7/2021,American Express Travel Related Services,3,0,0,0,0,1,0,0,0
18547,2021,1/7/2021,EmPower HR,5,1,1,0,0,0,1,0,0
18548,2021,1/7/2021,"American Express Travel Related Services Company, Inc",34,0,0,0,0,1,0,0,0
18549,2021,1/7/2021,The Village Bank,1,0,0,0,0,1,0,0,0
18550,2021,1/7/2021,"General Datatech, LP",14,1,1,0,1,0,1,0,0
18551,2021,1/7/2021,Old Trail School,6,0,1,0,0,0,1,0,0
18528,2021,1/8/2021,Roper St. Francis Healthcare,13,1,1,0,0,0,1,0,0
18529,2021,1/8/2021,Shattuck-St. Mary's School,4,1,1,1,1,0,1,0,0
18530,2021,1/8/2021,US Fertility LLC,2936,1,1,1,0,0,1,0,0
18531,2021,1/8/2021,Mascoutah School District 19,1,1,1,0,0,0,1,0,0
18532,2021,1/8/2021,Annunciation Orthodox School,3,0,1,0,0,0,1,0,0
18533,2021,1/8/2021,"Wells Fargo Bank, N.A.",3,1,0,0,1,0,1,0,0
18534,2021,1/8/2021,"CION Investment Group, LLC",2,1,1,0,0,0,1,0,0
18535,2021,1/8/2021,Massachusetts Department of Transportation Registry of Motor Vehicles,1,1,0,1,0,0,0,0,0
18536,2021,1/8/2021,Nitta Corporation of America,1,1,1,0,0,0,1,0,0
18537,2021,1/8/2021,County of Mercer,1,1,1,0,0,0,1,0,0
18539,2021,1/8/2021,"Granderson Des Rochers, LLP",1,1,1,0,0,0,1,0,0
18540,2021,1/8/2021,WINCHESTER SAVINGS BANK,3,0,0,0,0,1,0,0,0
18541,2021,1/8/2021,"Wilmington Surgical Associates, P.A.",51,1,1,0,0,0,1,0,0
18526,2021,1/9/2021,"American Anesthesiology, Inc.",419,1,1,1,1,1,1,0,0
18525,2021,1/10/2021,American Health Information Management Association,145,0,0,0,0,1,1,0,0
18520,2021,1/11/2021,Veritex Holdings Inc.,36,1,1,0,1,1,1,0,0
18521,2021,1/11/2021,"Town of Bedford, Massachusetts",33,1,0,0,1,0,1,0,0
18522,2021,1/11/2021,Robinson Financial Group,2,1,1,1,0,0,1,0,0
18523,2021,1/11/2021,The Village Bank,1,0,0,0,0,1,0,0,0
18524,2021,1/11/2021,PASCO scientific,3,1,1,0,0,0,1,0,0
18519,2021,1/12/2021,Fort McClellan Credit Union,1,1,1,0,0,0,1,0,0
18508,2021,1/12/2021,Los Angeles Community College District,64,0,1,0,0,0,1,0,0
18509,2021,1/12/2021,"GreeneHurlocker, PLC",3,1,1,1,1,0,1,0,0
18510,2021,1/12/2021,"National Board for Certified Counselors, Inc",11973,1,1,0,0,0,1,0,0
18511,2021,1/12/2021,Kuberneo CPA,1,1,1,0,0,0,1,0,0
18512,2021,1/12/2021,"Wells Fargo Bank, N.A.",1,0,0,0,1,0,1,0,0
18513,2021,1/12/2021,Wayne State Foundation,23,0,1,0,0,0,1,0,0
18514,2021,1/12/2021,Grinnell College,1,0,1,0,0,0,1,0,0
18515,2021,1/12/2021,Frame It Easy,146,1,0,0,0,1,1,0,0
18516,2021,1/12/2021,President and Fellows of Harvard College,136,0,1,1,1,1,1,0,0
18517,2021,1/12/2021,American Federation of Musicians and Employers' Pension Fund,11,1,1,0,0,0,1,0,0
18554,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18555,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18556,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18557,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18558,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18559,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18560,2021,1/12/2021,Mutual One Bank,2,0,0,0,0,1,0,0,0
18561,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18562,2021,1/12/2021,St. John's Jesuit High School & Academy,7,0,1,0,0,0,1,0,0
18563,2021,1/12/2021,"SouthBeachSmoke.com, Vaporfi.com & Directvapor.com",82,1,0,0,0,1,0,0,0
18564,2021,1/12/2021,"J.V. Dell, PC",4,1,1,0,0,0,1,0,0
18565,2021,1/12/2021,Main Street Bank,2,0,0,0,0,1,0,0,0
18566,2021,1/12/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18709,2021,1/12/2021,Bay Cove Human Services,11,0,0,0,0,0,1,0,0
18569,2021,1/13/2021,Gann Academy The New Jewish High School of Greater Boston,257,0,1,0,0,0,1,0,0
18570,2021,1/13/2021,"U.S. Bank, N.A.",1,0,1,1,1,0,1,0,0
18507,2021,1/13/2021,The Frederick Gunn School,13,0,1,0,0,0,1,0,0
18624,2021,1/13/2021,Waters & Kraus LLP,231,1,1,1,0,0,1,0,0
18625,2021,1/13/2021,ZOLL Medical,55,1,1,0,0,0,1,0,1
18626,2021,1/13/2021,"Coastal Equities, Inc",3,0,1,0,0,0,1,0,0
18617,2021,1/14/2021,"Spinnaker Management Group, LLC",30,1,1,0,1,0,1,0,0
18618,2021,1/14/2021,"E.R. Snell Contractor, Inc",1,1,1,0,0,0,1,0,0
18619,2021,1/14/2021,"American Express Travel Related Services Company, Inc.",1,0,0,0,0,1,0,0,0
18620,2021,1/14/2021,Terra Foundation for American Art,3,0,1,0,1,0,1,0,0
18621,2021,1/14/2021,Dana Hall School,2,0,1,0,0,0,1,0,0
18623,2021,1/14/2021,"American Express Travel Related Services Company, Inc.",1629,0,0,0,0,1,0,0,0
25793,2021,1/14/2021,"DCU Financial Insurance Services, LLC",1,0,0,1,0,0,1,0,0
18607,2021,1/15/2021,Krapf Group,3,1,1,0,0,0,1,0,0
18608,2021,1/15/2021,"Moss, Inc.",2,1,0,0,0,1,0,0,0
18609,2021,1/15/2021,Mattapan Community Health Center,1,1,1,0,0,0,0,0,0
18610,2021,1/15/2021,Benedictine Abbey of Newark a/k/a St. Benedict's Preparatory School,1,0,1,0,0,0,1,0,0
18611,2021,1/15/2021,Massachusetts Department of Unemployment Assistance,5,1,1,0,0,0,1,0,0
18612,2021,1/15/2021,The Newark Museum of Art,4,1,1,0,1,0,1,0,0
18615,2021,1/15/2021,"JPMorgan Chase Bank, N.A.",2,1,0,1,1,0,1,0,0
18605,2021,1/18/2021,"ALE Solutions, Inc.",423,1,1,0,0,0,1,0,0
18606,2021,1/18/2021,"Charm Sciences, Inc.",336,1,1,0,0,0,1,0,0
18600,2021,1/19/2021,"Village of New Lexington, Ohio",2,1,1,1,0,0,1,0,0
18601,2021,1/19/2021,Staten Island Academy,2,0,1,0,0,0,1,0,0
18602,2021,1/19/2021,The Village Bank,1,0,0,0,0,1,0,0,0
18603,2021,1/19/2021,New York Legal Assistance Group,13,1,1,1,1,1,1,0,0
18604,2021,1/19/2021,Helen Keller International,1,0,0,0,1,0,1,0,0
18597,2021,1/20/2021,Father Bill's & Mainspring,303,1,1,1,1,0,1,0,0
18598,2021,1/20/2021,"Asheville School, Inc",5,0,1,0,0,0,1,0,0
18599,2021,1/20/2021,Fairmont Private School,1,0,1,0,0,0,1,0,0
18576,2021,1/20/2021,Main Street Bank,1,0,0,0,0,1,0,0,0
18577,2021,1/20/2021,ACRES Capital  Debit Opportunity Fund L.P.,2,0,1,0,1,0,1,0,0
18578,2021,1/20/2021,Eastern Bank,152,0,0,0,0,1,0,0,0
18571,2021,1/20/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18572,2021,1/20/2021,UFCW Local 1776,2,1,1,0,0,0,1,0,0
18573,2021,1/20/2021,American Civil Liberties Union of Massachusetts,3,1,1,0,0,0,0,0,0
18581,2021,1/21/2021,"DJO Global, Inc.",6,1,1,1,1,1,1,0,0
18586,2021,1/21/2021,Kantar LLC,4,1,1,0,0,0,1,0,0
18587,2021,1/21/2021,Allstate Insurance Company,1,1,0,1,0,0,1,0,0
18588,2021,1/21/2021,Weleyan Christian Academy,4,0,1,0,0,0,1,0,0
18589,2021,1/21/2021,"American Bank Systems, Inc.",1,1,1,0,0,0,1,0,0
18590,2021,1/21/2021,The Village Bank,2,0,0,0,0,1,0,0,0
18591,2021,1/21/2021,St. Paul's School,814,0,1,0,0,0,1,0,0
18592,2021,1/21/2021,"Direct Energy LP, together w/ its affiliates First Choice Power, LLC & Home Warranty of America Inc.",655,0,1,0,1,1,1,0,0
18594,2021,1/21/2021,St. Mary's Credit Union,4,0,0,0,0,1,0,0,0
18595,2021,1/21/2021,South Georgia Bank,3,0,1,0,1,0,1,0,0
18575,2021,1/21/2021,Main Street Bank,1,0,0,0,0,1,0,0,0
18666,2021,1/21/2021,First Bank & Trust,3,0,1,0,0,0,1,0,0
18663,2021,1/22/2021,Clarus Corporation,10,1,1,0,0,0,1,0,0
18664,2021,1/22/2021,Lenox Advisors,19,1,1,1,1,0,1,0,0
18665,2021,1/22/2021,Landon School Corporation,16,0,1,0,0,0,1,0,0
18582,2021,1/22/2021,ConvenientMD Urgent Care,35,1,0,0,0,0,0,0,0
18583,2021,1/22/2021,UBS Financial Services Inc.,9,1,1,0,1,0,1,0,0
18584,2021,1/22/2021,New Hampton School,364,0,1,0,0,0,1,0,0
18585,2021,1/22/2021,"T2 US, LLC",2,0,1,0,1,0,1,0,0
18628,2021,1/22/2021,"Master Halco, Inc.",7,1,1,1,1,1,1,0,0
18629,2021,1/22/2021,Webster Five Cents Savings Bank,19,0,0,0,0,1,0,0,0
18630,2021,1/22/2021,"Leon Medical Centers, LLC",1,1,1,0,0,0,1,0,0
18631,2021,1/22/2021,Principal Life Insurance Company,2,1,0,0,1,0,0,0,0
18632,2021,1/22/2021,Abington Friends School,4,0,1,0,0,0,1,0,0
18633,2021,1/22/2021,"Cygilant, Inc.",229,1,1,1,1,1,1,0,0
18634,2021,1/22/2021,TrustLawyer LLC,3,1,1,0,0,0,1,0,0
18574,2021,1/22/2021,Christy Sports LLC,103,0,0,0,0,1,0,0,0
18518,2021,1/22/2021,"Arrow Truck Sales, Inc.",68,1,1,0,0,0,1,0,0
18662,2021,1/24/2021,"Inroads, Inc.",1,1,1,1,1,0,1,0,0
18648,2021,1/25/2021,Communications Workers of America,297,1,1,0,0,0,1,0,0
18658,2021,1/25/2021,National Western Life Insurance Company,2416,1,1,0,1,1,1,0,0
18659,2021,1/25/2021,Sher Tremonte LLP,5,1,1,1,1,1,1,0,0
18661,2021,1/25/2021,The Fallon Company LLC,22,1,1,1,1,0,1,0,0
18651,2021,1/26/2021,thyssenkrupp Materials,474,1,1,0,1,0,1,0,0
18652,2021,1/26/2021,Shorecrest Preparatory School,4,0,1,0,0,0,1,0,0
18653,2021,1/26/2021,Puget Sound Educational Service District,1,1,1,0,0,0,1,0,0
18654,2021,1/26/2021,SapphireFoxxBeyond.com,34,1,0,0,0,1,0,0,0
18655,2021,1/26/2021,Houston SPCA,17,0,0,0,1,0,0,0,0
18656,2021,1/26/2021,"Bosley, Inc.",1727,1,1,1,1,1,1,0,0
18657,2021,1/26/2021,Chemstation International Inc.,4,0,0,0,1,1,0,0,0
18635,2021,1/26/2021,Mutual One Bank,1,0,0,0,0,1,0,0,0
18636,2021,1/26/2021,"TPG Advisors, LLC",34,1,1,1,0,0,1,0,0
18637,2021,1/26/2021,Spaulding Rehabilitation Network,1,1,0,0,0,0,1,0,0
18638,2021,1/26/2021,The Cooperative Bank of Cape Cod,168,0,0,0,0,1,0,0,0
18639,2021,1/26/2021,Mutual one Bank,1,0,0,0,0,1,0,0,0
18640,2021,1/26/2021,Mutual one Bank,1,0,0,0,0,1,0,0,0
18641,2021,1/26/2021,Mutual one Bank,1,0,0,0,0,1,0,0,0
18642,2021,1/26/2021,Mutual one Bank,1,0,0,0,0,1,0,0,0
18643,2021,1/26/2021,Mutual one Bank,1,0,0,0,0,1,0,0,0
18644,2021,1/26/2021,Main Street Bank,1,0,0,0,0,1,0,0,0
18645,2021,1/26/2021,Main Street Bank,4,0,0,0,0,1,0,0,0
18646,2021,1/26/2021,SN Servicing Corporation,136,1,0,0,1,0,1,0,0
18647,2021,1/26/2021,McLean Hospital,1,1,0,0,0,0,1,0,0
18649,2021,1/27/2021,SAVERS BANK,1,0,0,0,0,1,0,0,0
18650,2021,1/27/2021,SAVERS BANK,1,0,0,0,0,1,0,0,0
18667,2021,1/27/2021,American Frame Corporation,1381,1,1,0,0,1,0,0,0
18701,2021,1/27/2021,Oldfields School,13,0,0,0,1,0,1,0,0
18702,2021,1/27/2021,The Trustees of the Stevens Institute of Technology,2,0,0,0,1,0,0,0,0
18703,2021,1/27/2021,WINCHESTER SAVINGS BANK,2,0,0,0,0,1,0,0,0
18704,2021,1/27/2021,WINCHESTER SAVINGS BANK,6,0,0,0,0,1,0,0,0
18705,2021,1/27/2021,Diversified Gas & Oil Corporation,135,1,1,0,0,0,1,0,0
18706,2021,1/27/2021,"DiPrete Engineering Associates, Inc.",1,1,0,1,0,0,1,0,0
18707,2021,1/27/2021,"Auris Health, Inc.",14,1,1,0,1,0,1,0,0
18696,2021,1/28/2021,"Associated Foreign Exchange, Inc.",20,1,1,1,1,0,1,0,0
18697,2021,1/28/2021,Young & Borlik Architects,2,1,0,0,1,0,1,0,0
18698,2021,1/28/2021,"Citibank, N.A.",2,1,0,0,1,0,0,0,0
18699,2021,1/28/2021,St. Andrew's-Sewanee School,10,0,1,0,0,0,1,0,0
18700,2021,1/28/2021,"American Express Travel Related Services Company, Inc",24,0,0,0,0,1,0,0,0
18682,2021,1/29/2021,Universal Logistics Holdings,30,1,1,1,0,0,1,0,0
18683,2021,1/29/2021,Victory Innovations,3,0,1,0,0,0,1,0,0
18684,2021,1/29/2021,"Richard A. Berger, MD",3,1,1,0,0,0,1,0,0
18685,2021,1/29/2021,Carmel Clay Parks & Recreation,2,1,1,0,0,0,1,0,0
18686,2021,1/29/2021,Colgate Rochester Crozer Divinity School,6,0,1,0,0,0,1,0,0
18687,2021,1/29/2021,San Francisco Conservatory of Music,34,0,1,0,0,0,1,0,0
18688,2021,1/29/2021,"Lynn Community Health, Inc.",1800,1,1,0,0,0,1,0,0
